Well,OD,Time_h,Type,Concentration,Sample,Antibiotic,Lineage,Experiment,Plate,blank_mean,OD_blanked,sample_group,replicate
C1,0.471,24,sample,0.002,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.38266666666666665,M-lines,1
C2,0.523,24,sample,0.006,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.4346666666666667,M-lines,1
C3,0.572,24,sample,0.016,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.48366666666666663,M-lines,1
C4,0.405,24,sample,0.047,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.3166666666666667,M-lines,1
C5,0.449,24,sample,0.125,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.3606666666666667,M-lines,1
C6,0.093,24,sample,0.38,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.004666666666666666,M-lines,1
C7,0.091,24,sample,1,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,M-lines,1
C8,0.092,24,sample,2,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,1
C9,0.092,24,sample,4,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,1
C10,0.091,24,sample,8,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,M-lines,1
C11,0.091,24,sample,16,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,M-lines,1
C12,0.094,24,sample,32,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.005666666666666667,M-lines,1
D1,0.57,24,sample,0.002,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.48166666666666663,M-lines,2
D2,0.553,24,sample,0.006,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.46466666666666673,M-lines,2
D3,0.554,24,sample,0.016,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.46566666666666673,M-lines,2
D4,0.546,24,sample,0.047,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.4576666666666667,M-lines,2
D5,0.281,24,sample,0.125,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.1926666666666667,M-lines,2
D6,0.091,24,sample,0.38,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,M-lines,2
D7,0.091,24,sample,1,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,M-lines,2
D8,0.091,24,sample,2,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,M-lines,2
D9,0.092,24,sample,4,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,2
D10,0.092,24,sample,8,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,2
D11,0.094,24,sample,16,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.005666666666666667,M-lines,2
D12,0.091,24,sample,32,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,M-lines,2
E1,0.433,24,sample,0.002,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.3446666666666667,M-lines,3
E2,0.426,24,sample,0.006,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.33766666666666667,M-lines,3
E3,0.532,24,sample,0.016,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.4436666666666667,M-lines,3
E4,0.493,24,sample,0.047,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.4046666666666667,M-lines,3
E5,0.27,24,sample,0.125,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.1816666666666667,M-lines,3
E6,0.092,24,sample,0.38,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,3
E7,0.097,24,sample,1,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.00866666666666667,M-lines,3
E8,0.092,24,sample,2,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,3
E9,0.092,24,sample,4,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,3
E10,0.092,24,sample,8,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,3
E11,0.092,24,sample,16,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,M-lines,3
E12,0.095,24,sample,32,M3,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.006666666666666668,M-lines,3
F1,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
F2,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
F3,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
F4,0.092,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,NA,NA
F5,0.095,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.006666666666666668,NA,NA
F6,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
F7,0.093,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.004666666666666666,NA,NA
F8,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
F9,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
F10,0.091,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,NA,NA
F11,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
F12,0.091,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,NA,NA
G1,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
G2,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
G3,0.091,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,NA,NA
G4,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
G5,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
G6,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
G7,0.091,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,NA,NA
G8,0.093,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.004666666666666666,NA,NA
G9,0.094,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.005666666666666667,NA,NA
G10,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
G11,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
G12,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
H1,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
H2,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
H3,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
H4,0.092,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,NA,NA
H5,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
H6,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
H7,0.09,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0016666666666666635,NA,NA
H8,0.092,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0036666666666666653,NA,NA
H9,0.091,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,NA,NA
H10,0.091,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,0.0026666666666666644,NA,NA
H11,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
H12,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate2,0.08833333333333333,6.666666666666626e-4,NA,NA
A1,0.088,0,blank,NA,NA,TOB,evolved,Exp1,Plate3,0.088,0,NA,NA
A2,0.088,0,blank,NA,NA,TOB,evolved,Exp1,Plate3,0.088,0,NA,NA
A3,0.088,0,blank,NA,NA,TOB,evolved,Exp1,Plate3,0.088,0,NA,NA
A4,0.09,0,empty,NA,NA,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,NA,NA
A5,0.089,0,empty,NA,NA,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,NA,NA
A6,0.091,0,sample,0,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,1
A7,0.094,0,sample,0,T1,TOB,evolved,Exp1,Plate3,0.088,0.006000000000000005,T-lines,2
A8,0.096,0,sample,0,T1,TOB,evolved,Exp1,Plate3,0.088,0.008000000000000007,T-lines,3
A9,0.09,0,empty,NA,NA,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,NA,NA
A10,0.089,0,sample,0,T2,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,1
A11,0.088,0,sample,0,T2,TOB,evolved,Exp1,Plate3,0.088,0,T-lines,2
A12,0.087,0,sample,0,T2,TOB,evolved,Exp1,Plate3,0.088,-0.0010000000000000009,T-lines,3
B1,0.091,0,sample,0.016,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,N-lines,1
B2,0.091,0,sample,0.047,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,N-lines,1
B3,0.09,0,sample,0.125,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,N-lines,1
B4,0.09,0,sample,0.38,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,N-lines,1
B5,0.09,0,sample,1,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,N-lines,1
B6,0.091,0,sample,3,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,N-lines,1
B7,0.09,0,sample,8,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,N-lines,1
B8,0.09,0,sample,16,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,N-lines,1
B9,0.091,0,sample,32,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,N-lines,1
B10,0.092,0,sample,64,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,N-lines,1
B11,0.09,0,sample,128,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,N-lines,1
B12,0.089,0,sample,256,NA1,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,N-lines,1
C1,0.093,0,sample,0.016,T1,TOB,evolved,Exp1,Plate3,0.088,0.0050000000000000044,T-lines,1
C2,0.09,0,sample,0.047,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,1
C3,0.092,0,sample,0.125,T1,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,T-lines,1
C4,0.09,0,sample,0.38,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,1
C5,0.091,0,sample,1,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,1
C6,0.091,0,sample,3,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,1
C7,0.09,0,sample,8,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,1
C8,0.091,0,sample,16,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,1
C9,0.093,0,sample,32,T1,TOB,evolved,Exp1,Plate3,0.088,0.0050000000000000044,T-lines,1
C10,0.093,0,sample,64,T1,TOB,evolved,Exp1,Plate3,0.088,0.0050000000000000044,T-lines,1
C11,0.089,0,sample,128,T1,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,1
C12,0.09,0,sample,256,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,1
D1,0.095,0,sample,0.016,T1,TOB,evolved,Exp1,Plate3,0.088,0.007000000000000006,T-lines,2
D2,0.091,0,sample,0.047,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,2
D3,0.091,0,sample,0.125,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,2
D4,0.09,0,sample,0.38,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,2
D5,0.09,0,sample,1,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,2
D6,0.09,0,sample,3,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,2
D7,0.089,0,sample,8,T1,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,2
D8,0.09,0,sample,16,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,2
D9,0.09,0,sample,32,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,2
D10,0.093,0,sample,64,T1,TOB,evolved,Exp1,Plate3,0.088,0.0050000000000000044,T-lines,2
D11,0.089,0,sample,128,T1,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,2
D12,0.089,0,sample,256,T1,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,2
E1,0.096,0,sample,0.016,T1,TOB,evolved,Exp1,Plate3,0.088,0.008000000000000007,T-lines,3
E2,0.091,0,sample,0.047,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
E3,0.091,0,sample,0.125,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
E4,0.094,0,sample,0.38,T1,TOB,evolved,Exp1,Plate3,0.088,0.006000000000000005,T-lines,3
E5,0.09,0,sample,1,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,3
E6,0.09,0,sample,3,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,3
E7,0.089,0,sample,8,T1,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,3
E8,0.089,0,sample,16,T1,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,3
E9,0.09,0,sample,32,T1,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,3
E10,0.092,0,sample,64,T1,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,T-lines,3
E11,0.089,0,sample,128,T1,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,3
E12,0.091,0,sample,256,T1,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
F1,0.094,0,sample,0.016,T2,TOB,evolved,Exp1,Plate3,0.088,0.006000000000000005,T-lines,1
F2,0.092,0,sample,0.047,T2,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,T-lines,1
F3,0.092,0,sample,0.125,T2,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,T-lines,1
F4,0.091,0,sample,0.38,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,1
F5,0.091,0,sample,1,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,1
F6,0.091,0,sample,3,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,1
F7,0.092,0,sample,8,T2,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,T-lines,1
F8,0.09,0,sample,16,T2,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,1
F9,0.09,0,sample,32,T2,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,1
F10,0.093,0,sample,64,T2,TOB,evolved,Exp1,Plate3,0.088,0.0050000000000000044,T-lines,1
F11,0.089,0,sample,128,T2,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,1
F12,0.09,0,sample,256,T2,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,1
G1,0.092,0,sample,0.016,T2,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,T-lines,2
G2,0.091,0,sample,0.047,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,2
G3,0.092,0,sample,0.125,T2,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,T-lines,2
G4,0.09,0,sample,0.38,T2,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,2
G5,0.091,0,sample,1,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,2
G6,0.097,0,sample,3,T2,TOB,evolved,Exp1,Plate3,0.088,0.009000000000000008,T-lines,2
G7,0.09,0,sample,8,T2,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,2
G8,0.093,0,sample,16,T2,TOB,evolved,Exp1,Plate3,0.088,0.0050000000000000044,T-lines,2
G9,0.091,0,sample,32,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,2
G10,0.094,0,sample,64,T2,TOB,evolved,Exp1,Plate3,0.088,0.006000000000000005,T-lines,2
G11,0.089,0,sample,128,T2,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,2
G12,0.09,0,sample,256,T2,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,2
H1,0.091,0,sample,0.016,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
H2,0.091,0,sample,0.047,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
H3,0.091,0,sample,0.125,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
H4,0.091,0,sample,0.38,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
H5,0.09,0,sample,1,T2,TOB,evolved,Exp1,Plate3,0.088,0.0020000000000000018,T-lines,3
H6,0.092,0,sample,3,T2,TOB,evolved,Exp1,Plate3,0.088,0.0040000000000000036,T-lines,3
H7,0.091,0,sample,8,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
H8,0.094,0,sample,16,T2,TOB,evolved,Exp1,Plate3,0.088,0.006000000000000005,T-lines,3
H9,0.091,0,sample,32,T2,TOB,evolved,Exp1,Plate3,0.088,0.0030000000000000027,T-lines,3
H10,0.094,0,sample,64,T2,TOB,evolved,Exp1,Plate3,0.088,0.006000000000000005,T-lines,3
H11,0.089,0,sample,128,T2,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,3
H12,0.089,0,sample,256,T2,TOB,evolved,Exp1,Plate3,0.088,0.0010000000000000009,T-lines,3
A1,0.089,16,blank,NA,NA,TOB,evolved,Exp1,Plate3,0.09033333333333333,-0.0013333333333333391,NA,NA
A2,0.09,16,blank,NA,NA,TOB,evolved,Exp1,Plate3,0.09033333333333333,-3.3333333333333826e-4,NA,NA
A3,0.092,16,blank,NA,NA,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.0016666666666666635,NA,NA
A4,0.096,16,empty,NA,NA,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.005666666666666667,NA,NA
A5,0.092,16,empty,NA,NA,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.0016666666666666635,NA,NA
A6,0.343,16,sample,0,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.2526666666666667,T-lines,1
A7,0.352,16,sample,0,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.26166666666666666,T-lines,2
A8,0.348,16,sample,0,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.25766666666666665,T-lines,3
A9,0.091,16,empty,NA,NA,TOB,evolved,Exp1,Plate3,0.09033333333333333,6.666666666666626e-4,NA,NA
A10,0.307,16,sample,0,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.21666666666666667,T-lines,1
A11,0.329,16,sample,0,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.2386666666666667,T-lines,2
A12,0.306,16,sample,0,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.21566666666666667,T-lines,3
B1,0.163,16,sample,0.016,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.07266666666666667,N-lines,1
B2,0.109,16,sample,0.047,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.018666666666666665,N-lines,1
B3,0.09,16,sample,0.125,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,-3.3333333333333826e-4,N-lines,1
B4,0.09,16,sample,0.38,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,-3.3333333333333826e-4,N-lines,1
B5,0.091,16,sample,1,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,6.666666666666626e-4,N-lines,1
B6,0.102,16,sample,3,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.011666666666666659,N-lines,1
B7,0.11,16,sample,8,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.019666666666666666,N-lines,1
B8,0.106,16,sample,16,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.015666666666666662,N-lines,1
B9,0.092,16,sample,32,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.0016666666666666635,N-lines,1
B10,0.093,16,sample,64,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.0026666666666666644,N-lines,1
B11,0.091,16,sample,128,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,6.666666666666626e-4,N-lines,1
B12,0.091,16,sample,256,NA1,TOB,evolved,Exp1,Plate3,0.09033333333333333,6.666666666666626e-4,N-lines,1
C1,0.234,16,sample,0.016,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.14366666666666666,T-lines,1
C2,0.296,16,sample,0.047,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.20566666666666666,T-lines,1
C3,0.219,16,sample,0.125,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.12866666666666665,T-lines,1
C4,0.153,16,sample,0.38,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.06266666666666666,T-lines,1
C5,0.139,16,sample,1,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.04866666666666668,T-lines,1
C6,0.124,16,sample,3,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.033666666666666664,T-lines,1
C7,0.122,16,sample,8,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.03166666666666666,T-lines,1
C8,0.092,16,sample,16,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.0016666666666666635,T-lines,1
C9,0.096,16,sample,32,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.005666666666666667,T-lines,1
C10,0.107,16,sample,64,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.016666666666666663,T-lines,1
C11,0.09,16,sample,128,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,-3.3333333333333826e-4,T-lines,1
C12,0.091,16,sample,256,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,6.666666666666626e-4,T-lines,1
D1,0.294,16,sample,0.016,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.20366666666666666,T-lines,2
D2,0.306,16,sample,0.047,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.21566666666666667,T-lines,2
D3,0.235,16,sample,0.125,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.14466666666666667,T-lines,2
D4,0.169,16,sample,0.38,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.07866666666666668,T-lines,2
D5,0.144,16,sample,1,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.053666666666666654,T-lines,2
D6,0.118,16,sample,3,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.02766666666666666,T-lines,2
D7,0.12,16,sample,8,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.02966666666666666,T-lines,2
D8,0.119,16,sample,16,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.02866666666666666,T-lines,2
D9,0.093,16,sample,32,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.0026666666666666644,T-lines,2
D10,0.121,16,sample,64,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.03066666666666666,T-lines,2
D11,0.093,16,sample,128,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.0026666666666666644,T-lines,2
D12,0.09,16,sample,256,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,-3.3333333333333826e-4,T-lines,2
E1,0.296,16,sample,0.016,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.20566666666666666,T-lines,3
E2,0.294,16,sample,0.047,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.20366666666666666,T-lines,3
E3,0.233,16,sample,0.125,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.14266666666666666,T-lines,3
E4,0.164,16,sample,0.38,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.07366666666666667,T-lines,3
E5,0.138,16,sample,1,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.04766666666666668,T-lines,3
E6,0.112,16,sample,3,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.021666666666666667,T-lines,3
E7,0.118,16,sample,8,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.02766666666666666,T-lines,3
E8,0.119,16,sample,16,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.02866666666666666,T-lines,3
E9,0.114,16,sample,32,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.02366666666666667,T-lines,3
E10,0.101,16,sample,64,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.010666666666666672,T-lines,3
E11,0.091,16,sample,128,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,6.666666666666626e-4,T-lines,3
E12,0.09,16,sample,256,T1,TOB,evolved,Exp1,Plate3,0.09033333333333333,-3.3333333333333826e-4,T-lines,3
F1,0.251,16,sample,0.016,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.16066666666666668,T-lines,1
F2,0.324,16,sample,0.047,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.2336666666666667,T-lines,1
F3,0.221,16,sample,0.125,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.13066666666666665,T-lines,1
F4,0.18,16,sample,0.38,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.08966666666666666,T-lines,1
F5,0.138,16,sample,1,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.04766666666666668,T-lines,1
F6,0.104,16,sample,3,T2,TOB,evolved,Exp1,Plate3,0.09033333333333333,0.01366666666666666,T-lines,1
