Well,Type,Concentration,Sample,Antibiotic,OD_t0,OD_t16,OD_t24,Plate,Experiment,OD_t0_blanked,OD_t16_blanked,OD_t24_blanked,growth_16h,growth_24h,well_type
C12,sample,32,M1,MRP,0.093,0.091,0.093,Plate1,Exp1,0.0026666666666666644,6.666666666666626e-4,0.0040000000000000036,-0.0020000000000000018,0.0013333333333333391,treatment
D1,sample,0.002,M1,MRP,0.09,0.259,0.446,Plate1,Exp1,-3.3333333333333826e-4,0.1686666666666667,0.357,0.16900000000000004,0.35733333333333334,treatment
D2,sample,0.006,M1,MRP,0.09,0.253,0.506,Plate1,Exp1,-3.3333333333333826e-4,0.16266666666666668,0.41700000000000004,0.16300000000000003,0.4173333333333334,treatment
D3,sample,0.016,M1,MRP,0.089,0.438,0.608,Plate1,Exp1,-0.0013333333333333391,0.3476666666666667,0.519,0.34900000000000003,0.5203333333333333,treatment
D4,sample,0.047,M1,MRP,0.089,0.365,0.497,Plate1,Exp1,-0.0013333333333333391,0.27466666666666667,0.40800000000000003,0.276,0.4093333333333334,treatment
D5,sample,0.125,M1,MRP,0.089,0.194,0.174,Plate1,Exp1,-0.0013333333333333391,0.10366666666666667,0.08499999999999999,0.10500000000000001,0.08633333333333333,treatment
D6,sample,0.38,M1,MRP,0.088,0.138,0.089,Plate1,Exp1,-0.00233333333333334,0.04766666666666668,0,0.05000000000000002,0.00233333333333334,treatment
D7,sample,1,M1,MRP,0.09,0.142,0.09,Plate1,Exp1,-3.3333333333333826e-4,0.05166666666666665,0.0010000000000000009,0.05199999999999999,0.0013333333333333391,treatment
D8,sample,2,M1,MRP,0.091,0.149,0.09,Plate1,Exp1,6.666666666666626e-4,0.05866666666666666,0.0010000000000000009,0.057999999999999996,3.3333333333333826e-4,treatment
D9,sample,4,M1,MRP,0.091,0.156,0.09,Plate1,Exp1,6.666666666666626e-4,0.06566666666666666,0.0010000000000000009,0.065,3.3333333333333826e-4,treatment
D10,sample,8,M1,MRP,0.091,0.108,0.096,Plate1,Exp1,6.666666666666626e-4,0.017666666666666664,0.007000000000000006,0.017,0.006333333333333344,treatment
D11,sample,16,M1,MRP,0.099,0.145,0.092,Plate1,Exp1,0.00866666666666667,0.054666666666666655,0.0030000000000000027,0.045999999999999985,-0.005666666666666667,treatment
D12,sample,32,M1,MRP,0.091,0.091,0.092,Plate1,Exp1,6.666666666666626e-4,6.666666666666626e-4,0.0030000000000000027,0,0.00233333333333334,treatment
E1,sample,0.002,M1,MRP,0.091,0.289,0.456,Plate1,Exp1,6.666666666666626e-4,0.19866666666666666,0.367,0.198,0.36633333333333334,treatment
E2,sample,0.006,M1,MRP,0.091,0.447,0.633,Plate1,Exp1,6.666666666666626e-4,0.3566666666666667,0.544,0.35600000000000004,0.5433333333333333,treatment
E3,sample,0.016,M1,MRP,0.09,0.53,0.538,Plate1,Exp1,-3.3333333333333826e-4,0.4396666666666667,0.44900000000000007,0.44000000000000006,0.4493333333333334,treatment
E4,sample,0.047,M1,MRP,0.09,0.496,0.528,Plate1,Exp1,-3.3333333333333826e-4,0.4056666666666667,0.43900000000000006,0.406,0.4393333333333334,treatment
E5,sample,0.125,M1,MRP,0.09,0.245,0.2,Plate1,Exp1,-3.3333333333333826e-4,0.15466666666666667,0.11100000000000002,0.15500000000000003,0.11133333333333335,treatment
E6,sample,0.38,M1,MRP,0.089,0.159,0.089,Plate1,Exp1,-0.0013333333333333391,0.06866666666666667,0,0.07,0.0013333333333333391,treatment
E7,sample,1,M1,MRP,0.089,0.16,0.094,Plate1,Exp1,-0.0013333333333333391,0.06966666666666667,0.0050000000000000044,0.07100000000000001,0.006333333333333344,treatment
