Sample,Antibiotic,Lineage,n_replicates,K_max_OD_mean,K_max_OD_sd,mu_max_mean,mu_max_sd,lag_time_mean,lag_time_sd,auc_mean,auc_sd
T2,No AB,ancestor,3,0.7878833333333333,0.0028558419657490034,0.03163993131166274,0.0013345493150409284,11.578357150100162,0.6282670965234296,45.034956620370366,0.8136911272656755
T2,No AB,evolved,3,0.5930666666666667,0.02749769687325348,0.01774500367286064,7.182581850201247e-4,28.03121352400279,0.4544233270825964,24.60912621296296,0.736183369571116
T3,No AB,ancestor,3,0.8066500000000001,0.007133722730804676,0.029604675930096153,0.001233360135091146,11.017852466396008,1.2920171208595044,45.09082963888886,0.6757166923840356
T3,No AB,evolved,3,0.5884,0.0025134637455112765,0.017589334450298536,2.989502424121135e-4,44.220365941291796,0.7437002095309994,17.52419466666667,0.4883374711210412
