Time_h,Well,OD,blank_mean,Type,Concentration,Sample,Antibiotic,Lineage,OD_blanked,Plate,sample_group,replicate
0.0019444444444444444,A1,0.1,0.09433333333333334,blank,NA,NA,NA,NA,0.005666666666666667,Plate1,NA,NA
0.0019444444444444444,A2,0.091,0.09433333333333334,blank,NA,NA,NA,NA,-0.003333333333333341,Plate1,NA,NA
0.0019444444444444444,A3,0.092,0.09433333333333334,blank,NA,NA,NA,NA,-0.00233333333333334,Plate1,NA,NA
0.0019444444444444444,A4,0.095,0.09433333333333334,empty,NA,NA,NA,NA,6.666666666666626e-4,Plate1,NA,NA
0.0019444444444444444,A5,0.092,0.09433333333333334,empty,NA,NA,NA,NA,-0.00233333333333334,Plate1,NA,NA
0.0019444444444444444,A6,0.099,0.09433333333333334,sample,0,T2,TOB,evolved,0.004666666666666666,Plate1,T-lines,1
0.0019444444444444444,A7,0.097,0.09433333333333334,sample,0,T2,TOB,evolved,0.0026666666666666644,Plate1,T-lines,2
0.0019444444444444444,A8,0.099,0.09433333333333334,sample,0,T2,TOB,evolved,0.004666666666666666,Plate1,T-lines,3
0.0019444444444444444,A9,0.091,0.09433333333333334,empty,NA,NA,NA,NA,-0.003333333333333341,Plate1,NA,NA
0.0019444444444444444,A10,0.097,0.09433333333333334,sample,0,T2,TOB,ancestor,0.0026666666666666644,Plate1,T-lines,1
0.0019444444444444444,A11,0.098,0.09433333333333334,sample,0,T2,TOB,ancestor,0.0036666666666666653,Plate1,T-lines,2
0.0019444444444444444,A12,0.096,0.09433333333333334,sample,0,T2,TOB,ancestor,0.0016666666666666635,Plate1,T-lines,3
0.0019444444444444444,B1,0.096,0.09433333333333334,sample,0.016,T2,TOB,evolved,0.0016666666666666635,Plate1,T-lines,1
0.0019444444444444444,B2,0.098,0.09433333333333334,sample,0.047,T2,TOB,evolved,0.0036666666666666653,Plate1,T-lines,1
0.0019444444444444444,B3,0.097,0.09433333333333334,sample,0.125,T2,TOB,evolved,0.0026666666666666644,Plate1,T-lines,1
0.0019444444444444444,B4,0.098,0.09433333333333334,sample,0.38,T2,TOB,evolved,0.0036666666666666653,Plate1,T-lines,1
0.0019444444444444444,B5,0.096,0.09433333333333334,sample,1,T2,TOB,evolved,0.0016666666666666635,Plate1,T-lines,1
0.0019444444444444444,B6,0.096,0.09433333333333334,sample,3,T2,TOB,evolved,0.0016666666666666635,Plate1,T-lines,1
0.0019444444444444444,B7,0.094,0.09433333333333334,sample,8,T2,TOB,evolved,-3.3333333333333826e-4,Plate1,T-lines,1
0.0019444444444444444,B8,0.095,0.09433333333333334,sample,16,T2,TOB,evolved,6.666666666666626e-4,Plate1,T-lines,1
0.0019444444444444444,B9,0.094,0.09433333333333334,sample,32,T2,TOB,evolved,-3.3333333333333826e-4,Plate1,T-lines,1
0.0019444444444444444,B10,0.094,0.09433333333333334,sample,64,T2,TOB,evolved,-3.3333333333333826e-4,Plate1,T-lines,1
0.0019444444444444444,B11,0.099,0.09433333333333334,sample,128,T2,TOB,evolved,0.004666666666666666,Plate1,T-lines,1
