Sample,Antibiotic,n_replicates,K_max_OD_mean,K_anc,rel_K,mu_max_mean,mu_anc,rel_mu,lag_time_mean,lag_anc,rel_lag,auc_mean,auc_anc,rel_auc
T2,TOB,3,0.5930666666666667,0.7878833333333333,0.7527341188416222,0.01774500367286064,0.03163993131166274,0.5608420415982283,28.03121352400279,11.578357150100162,2.4210009382687163,24.60912621296296,45.034956620370366,0.5464449854012222
T3,TOB,3,0.5884,0.8066500000000001,0.7294365586065827,0.017589334450298536,0.029604675930096153,0.5941404152449172,44.220365941291796,11.017852466396008,4.013519519903,17.52419466666667,45.09082963888886,0.3886420987817181
